TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,FTARATE,PTSOFF TO,2NDPTS,FBPS,PITP,2PM,2PA,2P%,TEAM OPP,MATCH UP OPP,W/L OPP,MIN OPP,PTS OPP,FGM OPP,FGA OPP,FG% OPP,3PM OPP,3PA OPP,3P% OPP,FTM OPP,FTA OPP,FT% OPP,OREB OPP,DREB OPP,REB OPP,AST OPP,TOV OPP,STL OPP,BLK OPP,PF OPP,+/- OPP,OFFRTG OPP,DEFRTG OPP,NETRTG OPP,AST% OPP,AST/TO OPP,ASTRATIO OPP,OREB% OPP,DREB% OPP,REB% OPP,TOV% OPP,EFG% OPP,TS% OPP,PACE OPP,PIE OPP,FTARATE OPP,PTSOFF TO OPP,2NDPTS OPP,FBPS OPP,PITP OPP,2PM OPP,2PA OPP,2P% OPP
PHI,PHI @ HOU,12/05/2022,L,58,123,39,87,44.8,17,36,47.2,28,36,77.8,11,28,39,23,20,10,6,34,-9,110.8,118.9,-8.1,59.0,1.15,15.4,28.3,53.6,41.3,18.0,54.6,59.8,91.86,46.6,0.414,21,19,4,40,22,51,43.1,HOU,HOU vs. PHI,W,58,132,42,94,44.7,14,39,35.9,34,44,77.3,16,35,51,19,21,9,3,27,9,118.9,110.8,8.1,45.2,0.9,12.3,46.4,71.7,58.7,18.9,52.1,58.2,91.86,53.4,0.468,25,19,0,52,28,55,50.9
MIA,MIA @ MEM,12/05/2022,L,48,93,31,79,39.2,14,40,35.0,17,22,77.3,9,36,45,23,17,7,3,11,-8,96.9,106.3,-9.4,74.2,1.35,17.6,24.0,79.2,51.0,17.7,48.1,52.4,95.5,45.3,0.278,15,5,16,26,17,39,43.6,MEM,MEM vs. MIA,W,48,101,42,90,46.7,8,32,25.0,9,9,100.0,4,37,41,23,12,10,5,14,8,106.3,96.9,9.4,54.8,1.92,18.0,20.8,76.0,49.0,12.6,51.1,53.7,95.5,54.7,0.1,17,9,20,64,34,58,58.6
CHA,CHA vs. LAC,12/05/2022,L,48,117,47,98,48.0,12,34,35.3,11,17,64.7,14,35,49,29,10,8,4,16,-2,119.4,120.2,-0.8,61.7,2.9,20.4,29.6,67.3,48.1,10.2,54.1,55.5,98.5,50.7,0.173,15,15,13,54,35,64,54.7,LAC,LAC @ CHA,W,48,119,45,93,48.4,15,36,41.7,14,21,66.7,13,34,47,30,12,4,5,17,2,120.2,119.4,0.8,66.7,2.5,20.8,32.7,70.4,51.9,12.1,56.5,58.2,98.5,49.3,0.226,17,25,13,40,30,57,52.6
LAC,LAC @ CHA,12/05/2022,W,48,119,45,93,48.4,15,36,41.7,14,21,66.7,13,34,47,30,12,4,5,17,2,120.2,119.4,0.8,66.7,2.5,20.8,32.7,70.4,51.9,12.1,56.5,58.2,98.5,49.3,0.226,17,25,13,40,30,57,52.6,CHA,CHA vs. LAC,L,48,117,47,98,48.0,12,34,35.3,11,17,64.7,14,35,49,29,10,8,4,16,-2,119.4,120.2,-0.8,61.7,2.9,20.4,29.6,67.3,48.1,10.2,54.1,55.5,98.5,50.7,0.173,15,15,13,54,35,64,54.7
PHX,PHX @ DAL,12/05/2022,L,48,111,40,91,44.0,13,37,35.1,18,26,69.2,13,28,41,28,13,5,5,16,-19,113.3,135.4,-22.2,70.0,2.15,19.2,38.9,72.5,53.2,13.3,51.1,54.2,97.0,43.9,0.286,15,13,6,48,27,54,50.0,DAL,DAL vs. PHX,W,48,130,44,84,52.4,20,41,48.8,22,26,84.6,10,31,41,23,13,7,6,23,19,135.4,113.3,22.2,52.3,1.77,17.7,27.5,61.1,46.8,13.5,64.3,68.1,97.0,56.1,0.31,20,11,13,42,24,43,55.8
MEM,MEM vs. MIA,12/05/2022,W,48,101,42,90,46.7,8,32,25.0,9,9,100.0,4,37,41,23,12,10,5,14,8,106.3,96.9,9.4,54.8,1.92,18.0,20.8,76.0,49.0,12.6,51.1,53.7,95.5,54.7,0.1,17,9,20,64,34,58,58.6,MIA,MIA @ MEM,L,48,93,31,79,39.2,14,40,35.0,17,22,77.3,9,36,45,23,17,7,3,11,-8,96.9,106.3,-9.4,74.2,1.35,17.6,24.0,79.2,51.0,17.7,48.1,52.4,95.5,45.3,0.278,15,5,16,26,17,39,43.6
IND,IND @ GSW,12/05/2022,W,48,112,43,90,47.8,15,39,38.5,11,18,61.1,7,40,47,26,17,3,8,18,8,112.0,104.0,8.0,60.5,1.53,18.3,30.8,73.3,53.6,17.0,56.1,57.2,100.0,52.8,0.2,17,16,14,54,28,51,54.9,GSW,GSW vs. IND,L,48,104,38,94,40.4,13,44,29.5,15,19,78.9,12,35,47,26,12,6,6,19,-8,104.0,112.0,-8.0,68.4,2.17,18.3,26.7,69.2,46.4,12.0,47.3,50.8,100.0,47.2,0.202,14,18,14,46,25,50,50.0
OKC,OKC @ ATL,12/05/2022,W,48,121,43,95,45.3,12,34,35.3,23,24,95.8,14,35,49,25,16,8,4,19,7,112.0,104.6,7.4,58.1,1.56,16.9,28.8,64.4,47.7,14.8,51.6,57.3,108.5,55.4,0.253,19,17,19,58,31,61,50.8,ATL,ATL vs. OKC,L,48,114,44,102,43.1,13,38,34.2,13,17,76.5,17,37,54,24,18,7,4,24,-7,104.6,112.0,-7.4,54.5,1.33,15.7,35.6,71.2,52.3,16.5,49.5,52.1,108.5,44.6,0.167,10,17,16,56,31,64,48.4
MIL,MIL @ ORL,12/05/2022,W,48,109,38,85,44.7,13,40,32.5,20,26,76.9,7,38,45,31,17,9,4,20,7,104.8,100.0,4.8,81.6,1.82,21.2,20.8,70.0,46.9,16.3,52.4,56.5,103.0,55.7,0.306,14,6,20,38,25,45,55.6,ORL,ORL vs. MIL,L,48,102,34,93,36.6,8,32,25.0,26,29,89.7,15,37,52,21,14,8,2,19,-7,100.0,104.8,-4.8,61.8,1.5,14.9,30.0,79.2,53.1,13.7,40.9,48.2,103.0,44.3,0.312,17,7,8,46,26,61,42.6
GSW,GSW vs. IND,12/05/2022,L,48,104,38,94,40.4,13,44,29.5,15,19,78.9,12,35,47,26,12,6,6,19,-8,104.0,112.0,-8.0,68.4,2.17,18.3,26.7,69.2,46.4,12.0,47.3,50.8,100.0,47.2,0.202,14,18,14,46,25,50,50.0,IND,IND @ GSW,W,48,112,43,90,47.8,15,39,38.5,11,18,61.1,7,40,47,26,17,3,8,18,8,112.0,104.0,8.0,60.5,1.53,18.3,30.8,73.3,53.6,17.0,56.1,57.2,100.0,52.8,0.2,17,16,14,54,28,51,54.9
ATL,ATL vs. OKC,12/05/2022,L,48,114,44,102,43.1,13,38,34.2,13,17,76.5,17,37,54,24,18,7,4,24,-7,104.6,112.0,-7.4,54.5,1.33,15.7,35.6,71.2,52.3,16.5,49.5,52.1,108.5,44.6,0.167,10,17,16,56,31,64,48.4,OKC,OKC @ ATL,W,48,121,43,95,45.3,12,34,35.3,23,24,95.8,14,35,49,25,16,8,4,19,7,112.0,104.6,7.4,58.1,1.56,16.9,28.8,64.4,47.7,14.8,51.6,57.3,108.5,55.4,0.253,19,17,19,58,31,61,50.8
ORL,ORL vs. MIL,12/05/2022,L,48,102,34,93,36.6,8,32,25.0,26,29,89.7,15,37,52,21,14,8,2,19,-7,100.0,104.8,-4.8,61.8,1.5,14.9,30.0,79.2,53.1,13.7,40.9,48.2,103.0,44.3,0.312,17,7,8,46,26,61,42.6,MIL,MIL @ ORL,W,48,109,38,85,44.7,13,40,32.5,20,26,76.9,7,38,45,31,17,9,4,20,7,104.8,100.0,4.8,81.6,1.82,21.2,20.8,70.0,46.9,16.3,52.4,56.5,103.0,55.7,0.306,14,6,20,38,25,45,55.6
TOR,TOR vs. BOS,12/05/2022,L,48,110,39,85,45.9,10,28,35.7,22,30,73.3,12,34,46,19,13,6,5,20,-6,112.2,118.4,-6.1,48.7,1.46,14.4,29.4,73.5,51.0,13.3,51.8,56.0,98.0,45.6,0.353,10,17,20,50,29,57,50.9,BOS,BOS @ TOR,W,48,116,44,90,48.9,13,36,36.1,15,21,71.4,13,36,49,27,11,6,3,22,6,118.4,112.2,6.1,61.4,2.45,19.6,26.5,70.6,49.0,11.2,56.1,58.4,98.0,54.4,0.233,15,16,13,54,31,54,57.4
NOP,NOP vs. DEN,12/04/2022,W,48,121,41,81,50.6,11,26,42.3,28,36,77.8,6,30,36,29,11,10,5,22,15,119.8,106.0,13.8,70.7,2.64,21.2,15.2,72.1,42.7,10.9,57.4,62.5,100.5,56.8,0.444,18,4,11,54,30,55,54.5,DEN,DEN @ NOP,L,48,106,41,81,50.6,8,31,25.8,16,24,66.7,9,34,43,24,19,5,5,22,-15,106.0,119.8,-13.8,58.5,1.26,17.8,27.9,84.8,57.3,19.0,55.6,57.9,100.5,43.2,0.296,11,15,14,58,33,50,66.0
DEN,DEN @ NOP,12/04/2022,L,48,106,41,81,50.6,8,31,25.8,16,24,66.7,9,34,43,24,19,5,5,22,-15,106.0,119.8,-13.8,58.5,1.26,17.8,27.9,84.8,57.3,19.0,55.6,57.9,100.5,43.2,0.296,11,15,14,58,33,50,66.0,NOP,NOP vs. DEN,W,48,121,41,81,50.6,11,26,42.3,28,36,77.8,6,30,36,29,11,10,5,22,15,119.8,106.0,13.8,70.7,2.64,21.2,15.2,72.1,42.7,10.9,57.4,62.5,100.5,56.8,0.444,18,4,11,54,30,55,54.5
MEM,MEM @ DET,12/04/2022,W,48,122,43,92,46.7,15,35,42.9,21,29,72.4,12,34,46,28,14,9,5,21,10,119.6,108.7,10.9,65.1,2.0,19.2,31.4,74.0,52.5,13.7,54.9,58.2,102.5,54.2,0.315,17,16,17,56,28,57,49.1,DET,DET vs. MEM,L,48,112,37,84,44.0,13,35,37.1,25,30,83.3,8,31,39,26,15,7,7,24,-10,108.7,119.6,-10.9,70.3,1.73,18.3,26.0,68.6,47.5,14.6,51.8,57.6,102.5,45.8,0.357,18,8,16,40,24,49,49.0
NYK,NYK vs. CLE,12/04/2022,W,48,92,35,86,40.7,5,29,17.2,17,21,81.0,14,40,54,17,21,6,3,16,11,92.9,81.8,11.1,48.6,0.81,12.6,35.8,75.0,56.0,21.2,43.6,48.3,99.0,58.8,0.244,18,17,10,56,30,57,52.6,CLE,CLE @ NYK,L,48,81,29,83,34.9,8,35,22.9,15,20,75.0,8,31,39,17,19,7,6,15,-11,81.8,92.9,-11.1,58.6,0.89,13.1,25.0,64.2,44.0,19.2,39.8,44.1,99.0,41.2,0.241,15,5,19,40,21,48,43.8
BOS,BOS @ BKN,12/04/2022,W,48,103,35,81,43.2,15,38,39.5,18,20,90.0,8,40,48,18,17,11,9,19,11,105.1,95.8,9.3,51.4,1.06,14.2,25.5,75.9,52.5,17.3,52.5,57.3,97.0,58.7,0.247,18,8,26,38,20,43,46.5,BKN,BKN vs. BOS,L,48,92,34,84,40.5,9,26,34.6,15,22,68.2,11,34,45,17,15,6,7,18,-11,95.8,105.1,-9.3,50.0,1.13,13.5,24.1,74.5,47.5,15.6,45.8,49.1,97.0,41.3,0.262,18,11,13,36,25,58,43.1
POR,POR vs. IND,12/04/2022,W,48,116,42,86,48.8,17,40,42.5,15,22,68.2,11,34,45,32,15,10,3,17,16,117.2,102.0,15.1,76.2,2.13,22.2,29.8,73.1,52.5,15.2,58.7,60.6,98.5,58.4,0.256,17,19,22,44,25,46,54.3,IND,IND @ POR,L,48,100,40,91,44.0,10,33,30.3,10,12,83.3,12,32,44,22,15,10,5,22,-16,102.0,117.2,-15.1,55.0,1.47,16.5,26.9,70.2,47.5,15.3,49.5,51.9,98.5,41.6,0.132,11,18,27,58,30,58,51.7
LAL,LAL @ WAS,12/04/2022,W,48,130,52,96,54.2,10,26,38.5,16,22,72.7,9,42,51,34,15,5,5,14,11,121.5,110.2,11.3,65.4,2.27,22.2,25.0,74.1,51.9,14.0,59.4,61.5,107.5,57.6,0.229,13,11,15,72,42,70,60.0,WAS,WAS vs. LAL,L,48,119,49,105,46.7,10,39,25.6,11,15,73.3,11,33,44,24,10,10,8,23,-11,110.2,121.5,-11.3,49.0,2.4,16.3,25.9,75.0,48.1,9.3,51.4,53.3,107.5,42.4,0.143,20,11,10,62,39,66,59.1
SAC,SAC vs. CHI,12/04/2022,W,48,110,40,86,46.5,13,43,30.2,17,19,89.5,5,41,46,30,19,10,2,17,9,106.8,98.1,8.7,75.0,1.58,21.0,23.4,84.0,54.6,18.4,54.1,58.3,103.0,57.4,0.221,23,5,24,42,27,43,62.8,CHI,CHI @ SAC,L,48,101,38,86,44.2,9,25,36.0,16,19,84.2,7,32,39,17,16,9,5,16,-9,98.1,106.8,-8.7,44.7,1.06,13.3,16.0,76.6,45.4,15.5,49.4,53.5,103.0,42.6,0.221,14,7,14,46,29,61,47.5
IND,IND @ POR,12/04/2022,L,48,100,40,91,44.0,10,33,30.3,10,12,83.3,12,32,44,22,15,10,5,22,-16,102.0,117.2,-15.1,55.0,1.47,16.5,26.9,70.2,47.5,15.3,49.5,51.9,98.5,41.6,0.132,11,18,27,58,30,58,51.7,POR,POR vs. IND,W,48,116,42,86,48.8,17,40,42.5,15,22,68.2,11,34,45,32,15,10,3,17,16,117.2,102.0,15.1,76.2,2.13,22.2,29.8,73.1,52.5,15.2,58.7,60.6,98.5,58.4,0.256,17,19,22,44,25,46,54.3
CHI,CHI @ SAC,12/04/2022,L,48,101,38,86,44.2,9,25,36.0,16,19,84.2,7,32,39,17,16,9,5,16,-9,98.1,106.8,-8.7,44.7,1.06,13.3,16.0,76.6,45.4,15.5,49.4,53.5,103.0,42.6,0.221,14,7,14,46,29,61,47.5,SAC,SAC vs. CHI,W,48,110,40,86,46.5,13,43,30.2,17,19,89.5,5,41,46,30,19,10,2,17,9,106.8,98.1,8.7,75.0,1.58,21.0,23.4,84.0,54.6,18.4,54.1,58.3,103.0,57.4,0.221,23,5,24,42,27,43,62.8
SAS,SAS vs. PHX,12/04/2022,L,48,95,38,87,43.7,6,31,19.4,13,18,72.2,12,28,40,19,19,5,3,24,-38,96.0,134.3,-38.4,50.0,1.0,14.3,32.0,64.6,48.0,19.2,47.1,50.0,99.0,29.7,0.207,9,11,12,56,32,56,57.1,PHX,PHX @ SAS,W,48,133,49,94,52.1,19,37,51.4,16,20,80.0,14,31,45,38,11,5,0,18,38,134.3,96.0,38.4,77.6,3.45,24.8,35.4,68.0,52.0,11.1,62.2,64.7,99.0,70.3,0.213,19,22,7,54,30,57,52.6
DET,DET vs. MEM,12/04/2022,L,48,112,37,84,44.0,13,35,37.1,25,30,83.3,8,31,39,26,15,7,7,24,-10,108.7,119.6,-10.9,70.3,1.73,18.3,26.0,68.6,47.5,14.6,51.8,57.6,102.5,45.8,0.357,18,8,16,40,24,49,49.0,MEM,MEM @ DET,W,48,122,43,92,46.7,15,35,42.9,21,29,72.4,12,34,46,28,14,9,5,21,10,119.6,108.7,10.9,65.1,2.0,19.2,31.4,74.0,52.5,13.7,54.9,58.2,102.5,54.2,0.315,17,16,17,56,28,57,49.1
BKN,BKN vs. BOS,12/04/2022,L,48,92,34,84,40.5,9,26,34.6,15,22,68.2,11,34,45,17,15,6,7,18,-11,95.8,105.1,-9.3,50.0,1.13,13.5,24.1,74.5,47.5,15.6,45.8,49.1,97.0,41.3,0.262,18,11,13,36,25,58,43.1,BOS,BOS @ BKN,W,48,103,35,81,43.2,15,38,39.5,18,20,90.0,8,40,48,18,17,11,9,19,11,105.1,95.8,9.3,51.4,1.06,14.2,25.5,75.9,52.5,17.3,52.5,57.3,97.0,58.7,0.247,18,8,26,38,20,43,46.5
PHX,PHX @ SAS,12/04/2022,W,48,133,49,94,52.1,19,37,51.4,16,20,80.0,14,31,45,38,11,5,0,18,38,134.3,96.0,38.4,77.6,3.45,24.8,35.4,68.0,52.0,11.1,62.2,64.7,99.0,70.3,0.213,19,22,7,54,30,57,52.6,SAS,SAS vs. PHX,L,48,95,38,87,43.7,6,31,19.4,13,18,72.2,12,28,40,19,19,5,3,24,-38,96.0,134.3,-38.4,50.0,1.0,14.3,32.0,64.6,48.0,19.2,47.1,50.0,99.0,29.7,0.207,9,11,12,56,32,56,57.1
CLE,CLE @ NYK,12/04/2022,L,48,81,29,83,34.9,8,35,22.9,15,20,75.0,8,31,39,17,19,7,6,15,-11,81.8,92.9,-11.1,58.6,0.89,13.1,25.0,64.2,44.0,19.2,39.8,44.1,99.0,41.2,0.241,15,5,19,40,21,48,43.8,NYK,NYK vs. CLE,W,48,92,35,86,40.7,5,29,17.2,17,21,81.0,14,40,54,17,21,6,3,16,11,92.9,81.8,11.1,48.6,0.81,12.6,35.8,75.0,56.0,21.2,43.6,48.3,99.0,58.8,0.244,18,17,10,56,30,57,52.6
WAS,WAS vs. LAL,12/04/2022,L,48,119,49,105,46.7,10,39,25.6,11,15,73.3,11,33,44,24,10,10,8,23,-11,110.2,121.5,-11.3,49.0,2.4,16.3,25.9,75.0,48.1,9.3,51.4,53.3,107.5,42.4,0.143,20,11,10,62,39,66,59.1,LAL,LAL @ WAS,W,48,130,52,96,54.2,10,26,38.5,16,22,72.7,9,42,51,34,15,5,5,14,11,121.5,110.2,11.3,65.4,2.27,22.2,25.0,74.1,51.9,14.0,59.4,61.5,107.5,57.6,0.229,13,11,15,72,42,70,60.0
DAL,DAL @ NYK,12/03/2022,W,48,121,43,100,43.0,24,61,39.3,11,14,78.6,14,36,50,27,11,7,5,20,21,117.5,99.0,18.5,62.8,2.45,18.5,28.8,80.9,51.9,10.7,55.0,57.0,102.0,57.8,0.14,19,24,13,38,19,39,48.7,NYK,NYK vs. DAL,L,48,100,35,77,45.5,10,31,32.3,20,28,71.4,7,38,45,18,20,7,1,17,-21,99.0,117.5,-18.5,51.4,0.9,14.1,19.1,71.2,48.1,19.8,51.9,56.0,102.0,42.2,0.364,12,11,15,44,25,46,54.3
NYK,NYK vs. DAL,12/03/2022,L,48,100,35,77,45.5,10,31,32.3,20,28,71.4,7,38,45,18,20,7,1,17,-21,99.0,117.5,-18.5,51.4,0.9,14.1,19.1,71.2,48.1,19.8,51.9,56.0,102.0,42.2,0.364,12,11,15,44,25,46,54.3,DAL,DAL @ NYK,W,48,121,43,100,43.0,24,61,39.3,11,14,78.6,14,36,50,27,11,7,5,20,21,117.5,99.0,18.5,62.8,2.45,18.5,28.8,80.9,51.9,10.7,55.0,57.0,102.0,57.8,0.14,19,24,13,38,19,39,48.7
POR,POR @ UTA,12/03/2022,W,48,116,41,85,48.2,10,25,40.0,24,31,77.4,12,37,49,19,13,5,6,20,5,117.2,112.1,5.1,46.3,1.46,14.5,26.5,77.6,52.0,13.1,54.1,58.8,99.0,52.3,0.365,16,13,4,46,31,60,51.7,UTA,UTA vs. POR,L,48,111,38,84,45.2,13,36,36.1,22,28,78.6,10,34,44,20,13,8,4,22,-5,112.1,117.2,-5.1,52.6,1.54,15.5,22.4,73.5,48.0,13.1,53.0,57.6,99.0,47.7,0.333,14,13,10,42,25,48,52.1
UTA,UTA vs. POR,12/03/2022,L,48,111,38,84,45.2,13,36,36.1,22,28,78.6,10,34,44,20,13,8,4,22,-5,112.1,117.2,-5.1,52.6,1.54,15.5,22.4,73.5,48.0,13.1,53.0,57.6,99.0,47.7,0.333,14,13,10,42,25,48,52.1,POR,POR @ UTA,W,48,116,41,85,48.2,10,25,40.0,24,31,77.4,12,37,49,19,13,5,6,20,5,117.2,112.1,5.1,46.3,1.46,14.5,26.5,77.6,52.0,13.1,54.1,58.8,99.0,52.3,0.365,16,13,4,46,31,60,51.7
LAC,LAC vs. SAC,12/03/2022,L,48,96,33,93,35.5,9,33,27.3,21,26,80.8,17,33,50,15,18,4,3,23,-27,95.0,121.8,-26.7,45.5,0.83,10.8,37.1,79.6,55.9,17.8,40.3,46.0,101.0,29.9,0.28,11,12,10,44,24,60,40.0,SAC,SAC @ LAC,W,48,123,46,89,51.7,11,32,34.4,20,30,66.7,8,38,46,31,9,7,6,22,27,121.8,95.0,26.7,67.4,3.44,21.8,20.4,62.9,44.1,8.9,57.9,60.2,101.0,70.1,0.337,23,6,15,62,35,57,61.4
ORL,ORL @ TOR,12/03/2022,L,48,108,38,78,48.7,11,28,39.3,21,26,80.8,5,24,29,23,16,9,2,20,-13,109.1,123.5,-14.4,60.5,1.44,17.4,24.4,65.0,44.4,16.2,55.8,60.4,98.5,42.3,0.333,29,5,16,46,27,50,54.0,TOR,TOR vs. ORL,W,48,121,47,84,56.0,9,29,31.0,18,25,72.0,12,31,43,31,17,12,4,24,13,123.5,109.1,14.4,66.0,1.82,21.7,35.0,75.6,55.6,17.3,61.3,63.7,98.5,57.7,0.298,25,17,21,70,38,55,69.1
GSW,GSW vs. HOU,12/03/2022,W,48,120,45,85,52.9,25,52,48.1,5,10,50.0,6,29,35,34,14,8,5,24,19,125.0,103.1,21.9,75.6,2.43,24.8,16.3,65.4,43.2,14.6,67.6,67.1,97.0,58.1,0.118,16,5,18,34,20,33,60.6,HOU,HOU @ GSW,L,48,101,40,91,44.0,3,28,10.7,18,20,90.0,14,31,45,17,15,6,4,14,-19,103.1,125.0,-21.9,42.5,1.13,12.8,34.6,83.7,56.8,15.3,45.6,50.6,97.0,41.9,0.22,15,12,17,72,37,63,58.7
HOU,HOU @ GSW,12/03/2022,L,48,101,40,91,44.0,3,28,10.7,18,20,90.0,14,31,45,17,15,6,4,14,-19,103.1,125.0,-21.9,42.5,1.13,12.8,34.6,83.7,56.8,15.3,45.6,50.6,97.0,41.9,0.22,15,12,17,72,37,63,58.7,GSW,GSW vs. HOU,W,48,120,45,85,52.9,25,52,48.1,5,10,50.0,6,29,35,34,14,8,5,24,19,125.0,103.1,21.9,75.6,2.43,24.8,16.3,65.4,43.2,14.6,67.6,67.1,97.0,58.1,0.118,16,5,18,34,20,33,60.6
MIL,MIL @ CHA,12/03/2022,W,48,105,39,83,47.0,12,32,37.5,15,19,78.9,8,39,47,24,22,5,8,17,9,100.0,91.4,8.6,61.5,1.09,17.4,21.7,79.6,53.0,21.0,54.2,57.5,105.0,56.5,0.229,11,14,8,46,27,51,52.9,CHA,CHA vs. MIL,L,48,96,34,87,39.1,5,24,20.8,23,26,88.5,9,35,44,15,14,9,4,19,-9,91.4,100.0,-8.6,44.1,1.07,11.5,20.4,78.3,47.0,13.3,42.0,48.8,105.0,43.5,0.299,31,11,12,52,29,63,46.0
OKC,OKC @ MIN,12/03/2022,W,48,135,48,93,51.6,11,26,42.3,28,35,80.0,13,29,42,26,21,11,5,18,7,119.5,112.3,7.2,54.2,1.24,16.8,32.7,64.4,47.9,18.6,57.5,62.3,113.5,50.9,0.376,33,10,21,66,37,67,55.2,MIN,MIN vs. OKC,L,48,128,47,89,52.8,10,30,33.3,24,30,80.0,12,32,44,25,23,13,10,23,-7,112.3,119.5,-7.2,53.2,1.09,16.1,35.6,67.3,52.1,20.2,58.4,62.6,113.5,49.1,0.337,29,19,26,68,37,59,62.7
TOR,TOR vs. ORL,12/03/2022,W,48,121,47,84,56.0,9,29,31.0,18,25,72.0,12,31,43,31,17,12,4,24,13,123.5,109.1,14.4,66.0,1.82,21.7,35.0,75.6,55.6,17.3,61.3,63.7,98.5,57.7,0.298,25,17,21,70,38,55,69.1,ORL,ORL @ TOR,L,48,108,38,78,48.7,11,28,39.3,21,26,80.8,5,24,29,23,16,9,2,20,-13,109.1,123.5,-14.4,60.5,1.44,17.4,24.4,65.0,44.4,16.2,55.8,60.4,98.5,42.3,0.333,29,5,16,46,27,50,54.0
SAC,SAC @ LAC,12/03/2022,W,48,123,46,89,51.7,11,32,34.4,20,30,66.7,8,38,46,31,9,7,6,22,27,121.8,95.0,26.7,67.4,3.44,21.8,20.4,62.9,44.1,8.9,57.9,60.2,101.0,70.1,0.337,23,6,15,62,35,57,61.4,LAC,LAC vs. SAC,L,48,96,33,93,35.5,9,33,27.3,21,26,80.8,17,33,50,15,18,4,3,23,-27,95.0,121.8,-26.7,45.5,0.83,10.8,37.1,79.6,55.9,17.8,40.3,46.0,101.0,29.9,0.28,11,12,10,44,24,60,40.0
MIN,MIN vs. OKC,12/03/2022,L,48,128,47,89,52.8,10,30,33.3,24,30,80.0,12,32,44,25,23,13,10,23,-7,112.3,119.5,-7.2,53.2,1.09,16.1,35.6,67.3,52.1,20.2,58.4,62.6,113.5,49.1,0.337,29,19,26,68,37,59,62.7,OKC,OKC @ MIN,W,48,135,48,93,51.6,11,26,42.3,28,35,80.0,13,29,42,26,21,11,5,18,7,119.5,112.3,7.2,54.2,1.24,16.8,32.7,64.4,47.9,18.6,57.5,62.3,113.5,50.9,0.376,33,10,21,66,37,67,55.2
CHA,CHA vs. MIL,12/03/2022,L,48,96,34,87,39.1,5,24,20.8,23,26,88.5,9,35,44,15,14,9,4,19,-9,91.4,100.0,-8.6,44.1,1.07,11.5,20.4,78.3,47.0,13.3,42.0,48.8,105.0,43.5,0.299,31,11,12,52,29,63,46.0,MIL,MIL @ CHA,W,48,105,39,83,47.0,12,32,37.5,15,19,78.9,8,39,47,24,22,5,8,17,9,100.0,91.4,8.6,61.5,1.09,17.4,21.7,79.6,53.0,21.0,54.2,57.5,105.0,56.5,0.229,11,14,8,46,27,51,52.9
WAS,WAS @ CHA,12/02/2022,L,48,116,39,86,45.3,12,33,36.4,26,35,74.3,18,38,56,23,14,3,9,23,-1,123.4,124.5,-1.1,59.0,1.64,16.4,46.0,64.4,56.0,14.9,52.3,57.2,94.0,51.1,0.407,7,19,8,48,27,53,50.9,CHA,CHA vs. WAS,W,48,117,40,95,42.1,12,29,41.4,25,31,80.6,19,26,45,25,4,6,3,24,1,124.5,123.4,1.1,62.5,6.25,17.9,35.6,54.0,44.0,4.3,48.4,53.8,94.0,48.9,0.326,24,19,13,52,28,66,42.4
UTA,UTA vs. IND,12/02/2022,W,48,139,46,83,55.4,15,34,44.1,32,37,86.5,8,39,47,29,26,7,2,28,20,120.9,102.6,18.3,63.0,1.12,18.6,29.3,77.2,57.1,22.6,64.5,70.0,115.5,61.5,0.446,19,18,8,60,31,49,63.3,IND,IND @ UTA,L,48,119,40,92,43.5,12,34,35.3,27,33,81.8,9,26,35,25,19,12,5,35,-20,102.6,120.9,-18.3,62.5,1.32,16.4,22.8,70.7,42.9,16.4,50.0,55.9,115.5,38.5,0.359,27,11,24,46,28,58,48.3
SAS,SAS vs. NOP,12/02/2022,L,48,99,38,98,38.8,11,39,28.2,12,16,75.0,10,39,49,26,12,4,4,23,-18,94.3,113.6,-19.3,68.4,2.17,17.8,25.8,81.1,51.3,11.4,44.4,47.1,104.0,38.5,0.163,8,18,18,48,27,59,45.8,NOP,NOP @ SAS,W,48,117,40,92,43.5,12,42,28.6,25,26,96.2,10,43,53,25,9,9,5,18,18,113.6,94.3,19.3,62.5,2.78,18.1,18.9,74.2,48.7,8.7,50.0,56.6,104.0,61.5,0.283,11,15,22,54,28,50,56.0
NOP,NOP @ SAS,12/02/2022,W,48,117,40,92,43.5,12,42,28.6,25,26,96.2,10,43,53,25,9,9,5,18,18,113.6,94.3,19.3,62.5,2.78,18.1,18.9,74.2,48.7,8.7,50.0,56.6,104.0,61.5,0.283,11,15,22,54,28,50,56.0,SAS,SAS vs. NOP,L,48,99,38,98,38.8,11,39,28.2,12,16,75.0,10,39,49,26,12,4,4,23,-18,94.3,113.6,-19.3,68.4,2.17,17.8,25.8,81.1,51.3,11.4,44.4,47.1,104.0,38.5,0.163,8,18,18,48,27,59,45.8
