TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,FTARATE,PTSOFF TO,2NDPTS,FBPS,PITP,2PM,2PA,2P%,TEAM OPP,MATCH UP OPP,W/L OPP,MIN OPP,PTS OPP,FGM OPP,FGA OPP,FG% OPP,3PM OPP,3PA OPP,3P% OPP,FTM OPP,FTA OPP,FT% OPP,OREB OPP,DREB OPP,REB OPP,AST OPP,TOV OPP,STL OPP,BLK OPP,PF OPP,+/- OPP,OFFRTG OPP,DEFRTG OPP,NETRTG OPP,AST% OPP,AST/TO OPP,ASTRATIO OPP,OREB% OPP,DREB% OPP,REB% OPP,TOV% OPP,EFG% OPP,TS% OPP,PACE OPP,PIE OPP,FTARATE OPP,PTSOFF TO OPP,2NDPTS OPP,FBPS OPP,PITP OPP,2PM OPP,2PA OPP,2P% OPP
SAS,SAS vs. SAC,01/15/2023,L,48,119,48,93,51.6,10,26,38.5,13,20,65.0,11,29,40,27,10,1,3,21,-13,124.0,136.1,-12.1,56.3,2.7,19.4,32.0,76.7,52.7,10.4,57.0,58.4,96.5,44.2,0.215,9,18,12,66,38,67,56.7,SAC,SAC @ SAS,W,48,132,49,89,55.1,14,30,46.7,20,25,80.0,7,31,38,24,6,5,2,19,13,136.1,124.0,12.1,49.0,4.0,18.3,23.3,68.0,47.3,6.2,62.9,66.0,96.5,55.8,0.281,13,9,14,56,35,59,59.3
POR,POR vs. DAL,01/15/2023,W,48,140,43,85,50.6,17,44,38.6,37,42,88.1,8,33,41,28,8,3,6,29,17,142.9,125.5,17.3,65.1,3.5,20.3,30.2,70.0,51.6,8.2,60.6,67.6,98.0,56.3,0.494,17,13,13,46,26,41,63.4,DAL,DAL @ POR,L,48,123,41,89,46.1,14,42,33.3,27,33,81.8,13,26,39,31,9,3,2,29,-17,125.5,142.9,-17.3,75.6,3.44,21.5,30.0,69.8,48.4,9.2,53.9,59.4,98.0,43.7,0.371,10,16,8,50,27,47,57.4
BKN,BKN vs. OKC,01/15/2023,L,48,102,39,91,42.9,12,41,29.3,12,19,63.2,14,37,51,24,16,4,7,21,-10,103.0,112.0,-9.0,61.5,1.5,17.1,29.8,73.1,50.5,16.2,49.5,51.3,99.5,43.2,0.209,9,16,2,46,27,50,54.0,OKC,OKC @ BKN,W,48,112,40,90,44.4,12,31,38.7,20,26,76.9,11,39,50,21,9,5,7,14,10,112.0,103.0,9.0,52.5,2.33,15.6,26.9,70.2,49.5,9.0,51.1,55.2,99.5,56.8,0.289,19,12,10,48,28,59,47.5
HOU,HOU @ LAC,01/15/2023,L,48,100,38,84,45.2,7,31,22.6,17,23,73.9,10,29,39,22,20,8,6,17,-21,98.0,118.6,-20.6,57.9,1.1,16.1,26.0,71.1,47.4,19.6,49.4,53.1,102.0,40.3,0.274,18,11,15,62,31,53,58.5,LAC,LAC vs. HOU,W,48,121,46,88,52.3,14,32,43.8,15,21,71.4,11,33,44,21,17,13,6,16,21,118.6,98.0,20.6,45.7,1.24,15.4,28.9,74.0,52.6,16.7,60.2,62.2,102.0,59.7,0.239,20,13,7,62,32,56,57.1
PHI,PHI @ LAL,01/15/2023,W,48,113,43,85,50.6,12,34,35.3,15,19,78.9,5,33,38,29,10,3,7,16,1,116.5,116.7,-0.2,67.4,2.9,21.5,20.5,85.4,51.8,10.3,57.6,60.5,96.5,50.2,0.224,8,6,5,52,31,51,60.8,LAL,LAL vs. PHI,L,48,112,48,87,55.2,6,20,30.0,10,13,76.9,4,34,38,28,11,4,6,19,-1,116.7,116.5,0.2,58.3,2.55,21.5,14.6,79.5,48.2,11.5,58.6,60.4,96.5,49.8,0.149,13,8,18,70,42,67,62.7
CHI,CHI vs. GSW,01/15/2023,W,48,132,48,95,50.5,15,39,38.5,21,24,87.5,7,31,38,29,10,12,1,18,14,123.4,110.3,13.1,60.4,2.9,19.9,21.3,78.3,49.5,9.3,58.4,62.5,107.0,55.7,0.253,31,14,18,56,33,56,58.9,GSW,GSW @ CHI,L,48,118,41,83,49.4,21,51,41.2,15,22,68.2,7,33,40,35,23,6,4,22,-14,110.3,123.4,-13.1,85.4,1.52,23.2,21.7,78.7,50.5,21.5,62.0,63.7,107.0,44.3,0.265,19,9,25,34,20,32,62.5
DEN,DEN vs. ORL,01/15/2023,W,48,119,48,89,53.9,13,39,33.3,10,19,52.6,12,29,41,32,16,10,5,22,3,119.0,116.0,3.0,66.7,2.0,21.8,33.3,68.9,51.1,16.0,61.2,61.1,100.0,52.0,0.213,19,17,22,56,35,50,70.0,ORL,ORL @ DEN,L,48,116,41,84,48.8,7,29,24.1,27,34,79.4,10,29,39,24,13,7,2,17,-3,116.0,119.0,-3.0,58.5,1.85,17.4,31.1,66.7,48.9,13.0,53.0,58.6,100.0,48.0,0.405,18,14,15,60,34,55,61.8
OKC,OKC @ BKN,01/15/2023,W,48,112,40,90,44.4,12,31,38.7,20,26,76.9,11,39,50,21,9,5,7,14,10,112.0,103.0,9.0,52.5,2.33,15.6,26.9,70.2,49.5,9.0,51.1,55.2,99.5,56.8,0.289,19,12,10,48,28,59,47.5,BKN,BKN vs. OKC,L,48,102,39,91,42.9,12,41,29.3,12,19,63.2,14,37,51,24,16,4,7,21,-10,103.0,112.0,-9.0,61.5,1.5,17.1,29.8,73.1,50.5,16.2,49.5,51.3,99.5,43.2,0.209,9,16,2,46,27,50,54.0
DAL,DAL @ POR,01/15/2023,L,48,123,41,89,46.1,14,42,33.3,27,33,81.8,13,26,39,31,9,3,2,29,-17,125.5,142.9,-17.3,75.6,3.44,21.5,30.0,69.8,48.4,9.2,53.9,59.4,98.0,43.7,0.371,10,16,8,50,27,47,57.4,POR,POR vs. DAL,W,48,140,43,85,50.6,17,44,38.6,37,42,88.1,8,33,41,28,8,3,6,29,17,142.9,125.5,17.3,65.1,3.5,20.3,30.2,70.0,51.6,8.2,60.6,67.6,98.0,56.3,0.494,17,13,13,46,26,41,63.4
SAC,SAC @ SAS,01/15/2023,W,48,132,49,89,55.1,14,30,46.7,20,25,80.0,7,31,38,24,6,5,2,19,13,136.1,124.0,12.1,49.0,4.0,18.3,23.3,68.0,47.3,6.2,62.9,66.0,96.5,55.8,0.281,13,9,14,56,35,59,59.3,SAS,SAS vs. SAC,L,48,119,48,93,51.6,10,26,38.5,13,20,65.0,11,29,40,27,10,1,3,21,-13,124.0,136.1,-12.1,56.3,2.7,19.4,32.0,76.7,52.7,10.4,57.0,58.4,96.5,44.2,0.215,9,18,12,66,38,67,56.7
